,site,x_cart,y_cart,theta_polr,r_polr,dist_center,keep_this_site,mm_site
233,234,2.7374005305039795,-3.02403846153846,-0.8351082773634427,4.0789913313547705,14.148621446637097,True,385
234,235,3.7374005305039795,-3.02403846153846,-0.6802825584458245,4.807595172461521,13.882677885884442,True,414
235,236,4.7374005305039795,-3.02403846153846,-0.5681295962263514,5.62030002787069,13.707825480412547,True,443
236,237,5.7374005305039795,-3.02403846153846,-0.48507200346098134,6.48556654921459,13.592770664513798,True,471
237,238,6.7374005305039795,-3.02403846153846,-0.42189176693450986,7.384942418550005,13.515075434934486,True,497
238,239,7.7374005305039795,-3.02403846153846,-0.37257968223074606,8.307356714762353,13.46092589447397,True,522
239,240,8.73740053050398,-3.02403846153846,-0.3331986828440644,9.24591675537451,13.42201279705375,True,546
240,241,9.73740053050398,-3.02403846153846,-0.3011156814579029,10.196164852939711,13.393263657754346,True,568
241,242,10.73740053050398,-3.02403846153846,-0.27452511368999516,11.155114466886076,13.371498570144466,True,587
242,243,11.73740053050398,-3.02403846153846,-0.2521573907272453,12.120700467808739,13.354665056529496,True,602
243,244,12.73740053050398,-3.02403846153846,-0.23309848404496372,13.091454498692915,13.341400205501131,True,614
244,245,-12.26259946949602,-2.02403846153846,0.1635829475919654,12.428518714757244,13.301592321688682,True,4
245,246,-11.26259946949602,-2.02403846153846,0.17781518271966026,11.443027506043975,13.308634291075316,True,17
246,247,-10.26259946949602,-2.02403846153846,0.1947256172620346,10.460290606148902,13.317747050934777,True,34
247,248,-9.26259946949602,-2.02403846153846,0.21513563963520757,9.481164518459478,13.329816647274036,True,54
248,249,-8.26259946949602,-2.02403846153846,0.2402332020078166,8.506896125326964,13.346248938624266,True,76
249,250,-7.2625994694960205,-2.02403846153846,0.2717966728128062,7.539368856085425,13.369372563826284,True,100
250,251,-6.2625994694960205,-2.02403846153846,0.3125981298755219,6.581556336393302,13.403243195235728,True,126
251,252,-5.2625994694960205,-2.02403846153846,0.36716750092326284,5.638411555582545,13.455345842289372,True,153
252,253,-4.2625994694960205,-2.02403846153846,0.44331505079498523,4.718737747653998,13.54040522828487,True,181
253,254,-3.2625994694960205,-2.02403846153846,0.5552672911505091,3.8394383693637653,13.68912239694974,True,210
254,255,-2.2625994694960205,-2.02403846153846,0.729803270545334,3.035801056253629,13.965444456149777,True,239
255,256,-1.2625994694960205,-2.02403846153846,1.0130588769931332,2.3855584491180695,14.4612453329926,True,268
256,257,-0.26259946949602053,-2.02403846153846,1.4417766606733058,2.041002247712277,14.988937018733042,True,297
257,258,0.7374005305039795,-2.02403846153846,-1.2214204222715586,2.1541799451704415,14.780739093515844,True,327
258,259,1.7374005305039795,-2.02403846153846,-0.8614554946141127,2.667450523849034,14.195299895514566,True,357
259,260,2.7374005305039795,-2.02403846153846,-0.6366835859790089,3.404422617447846,13.81238766445631,True,386
260,261,3.7374005305039795,-2.02403846153846,-0.4963427274537795,4.250281687041272,13.607558780601279,True,415
261,262,4.7374005305039795,-2.02403846153846,-0.4037720321694851,5.151669193592147,13.49449450322313,True,444
262,263,5.7374005305039795,-2.02403846153846,-0.3391490209908012,6.083954021951047,13.427639046086307,True,472
263,264,6.7374005305039795,-2.02403846153846,-0.2918405182501339,7.03486301232812,13.385457252621197,True,498
264,265,7.7374005305039795,-2.02403846153846,-0.2558582370702269,7.997755851689288,13.35735629279959,True,523
265,266,8.73740053050398,-2.02403846153846,-0.22763705456628208,8.96877359086727,13.337783639377108,True,547
266,267,9.73740053050398,-2.02403846153846,-0.20494390629622122,9.945536726856231,13.323643849888276,True,569
267,268,10.73740053050398,-2.02403846153846,-0.1863172715862003,10.926504557554265,13.31311500970442,True,588
268,269,11.73740053050398,-2.02403846153846,-0.17076406338222014,11.910638224178504,13.305073557328598,True,603
269,270,12.73740053050398,-2.02403846153846,-0.15758755261932525,12.897213031049384,13.298798356234471,True,615
270,271,-12.26259946949602,-1.02403846153846,0.08331576894390687,12.305283439238371,13.272748435498784,True,5
271,272,-11.26259946949602,-1.02403846153846,0.09067448626401496,11.309058386134634,13.274617792710522,True,18
272,273,-10.26259946949602,-1.02403846153846,0.0994543269082871,10.313564012600594,13.277053825624986,True,35
273,274,-9.26259946949602,-1.02403846153846,0.11010911455425822,9.319034483411789,13.280310105949617,True,55
274,275,-8.26259946949602,-1.02403846153846,0.12330781502946182,8.32581556149462,13.284798935773226,True,77
275,276,-7.2625994694960205,-1.02403846153846,0.14007819478907094,7.334439707641882,13.29122656136039,True,101
276,277,-6.2625994694960205,-1.02403846153846,0.1620821114128667,6.345770787386028,13.300883291563176,True,127
277,278,-5.2625994694960205,-1.02403846153846,0.19218629449079558,5.361306552236111,13.316327175219874,True,154
278,279,-4.2625994694960205,-1.02403846153846,0.23577002638809705,4.383880587796366,13.343199334518522,True,182
279,280,-3.2625994694960205,-1.02403846153846,0.3041342712214561,3.4195336040263986,13.395853447297386,True,211
280,281,-2.2625994694960205,-1.02403846153846,0.42500882626811276,2.483548092965733,13.518694349547687,True,240
281,282,-1.2625994694960205,-1.02403846153846,0.681445944628588,1.6256728425737106,13.884588883496567,True,269
282,283,-0.26259946949602053,-1.02403846153846,1.3197702704786913,1.0571722906365106,14.894440947179406,True,298
283,284,0.7374005305039795,-1.02403846153846,-0.9467135695250444,1.2619089955688587,14.346225449192177,True,328
284,285,1.7374005305039795,-1.02403846153846,-0.5325951544389715,2.0167338381912385,13.656919780387236,True,358
285,286,2.7374005305039795,-1.02403846153846,-0.35797400051938033,2.9226728238230026,13.446035443463618,True,387
286,287,3.7374005305039795,-1.02403846153846,-0.2674339708188288,3.875153867412426,13.366014940358905,True,416
287,288,4.7374005305039795,-1.02403846153846,-0.2128850392809819,4.846815300496754,13.328428571421956,True,445
288,289,5.7374005305039795,-1.02403846153846,-0.17662484842553827,5.8280716895159586,13.308023294451162,True,473
289,290,6.7374005305039795,-1.02403846153846,-0.1508386274367004,6.81477957671012,13.295775952507137,True,499
290,291,7.7374005305039795,-1.02403846153846,-0.13158442546966417,7.804871667116207,13.287870043486087,True,524
291,292,8.73740053050398,-1.02403846153846,-0.11666947305925293,8.797205397236175,13.282478393322794,True,548
292,293,9.73740053050398,-1.02403846153846,-0.10478033647128211,9.791099216235594,13.278640461186182,True,570
293,294,10.73740053050398,-1.02403846153846,-0.09508358420997096,10.786121866694128,13.275813179676215,True,589
294,295,11.73740053050398,-1.02403846153846,-0.08702540181102068,11.781987352912289,13.273671141628821,True,604
295,296,12.73740053050398,-1.02403846153846,-0.0802236428966572,12.778498622498384,13.272009892268434,True,616
296,297,-12.26259946949602,-0.0240384615384599,0.001960304648833062,12.262623030857517,13.262605094477308,True,6
297,298,-11.26259946949602,-0.0240384615384599,0.0021343585112177286,11.26262512285325,13.262606137696231,True,19
298,299,-10.26259946949602,-0.0240384615384599,0.002342332237304183,10.262627622540592,13.262607500517987,True,36
299,300,-9.26259946949602,-0.0240384615384599,0.002595211813946758,9.262630661963215,13.262609328189198,True,56
300,301,-8.26259946949602,-0.0240384615384599,0.0029093015831601196,8.26263443708779,13.262611858919344,True,78
301,302,-7.2625994694960205,-0.0240384615384599,0.003309885648542688,7.262639251811769,13.262615505619946,True,102
302,303,-6.2625994694960205,-0.0240384615384599,0.003838397074602192,6.262645604132887,13.262621035662239,True,128
303,304,-5.2625994694960205,-0.0240384615384599,0.004567760570527248,5.262654370559873,13.262630010222583,True,155
304,305,-4.2625994694960205,-0.0240384615384599,0.00563933038650369,4.26266725008895,13.262646020278234,True,183
305,306,-3.2625994694960205,-0.0240384615384599,0.007367752859469283,3.2626880246184817,13.262678927996742,True,212
306,307,-2.2625994694960205,-0.0240384615384599,0.010623867580726915,2.2627271614131494,13.26276467758049,True,241
307,308,-1.2625994694960205,-0.0240384615384599,0.01903656565387809,1.262828281281651,13.263129895754593,True,270
308,309,-0.26259946949602053,-0.0240384615384599,0.09128598991362263,0.2636974194275087,13.274780212593754,True,299
309,310,0.7374005305039795,-0.0240384615384599,-0.032587380708734244,0.7377922404177794,13.264153629497757,True,329
310,311,1.7374005305039795,-0.0240384615384599,-0.013834995089627397,1.7375668191550635,13.262879637343334,True,359
311,312,2.7374005305039795,-0.0240384615384599,-0.008781266531399717,2.737506075251086,13.262712340638734,True,388
312,313,3.7374005305039795,-0.0240384615384599,-0.00643177788113991,3.737477835793085,13.26266002216408,True,417
313,314,4.7374005305039795,-0.0240384615384599,-0.005074144581546206,4.737461517949515,13.2626371570561,True,446
314,315,5.7374005305039795,-0.0240384615384599,-0.004189758193253029,5.737450888248237,13.2626251646285,True,474
315,316,6.7374005305039795,-0.0240384615384599,-0.0035678982460893138,6.737443413941852,13.262618103158086,True,500
316,317,7.7374005305039795,-0.0240384615384599,-0.0031067778000311848,7.737437871613341,13.262613597926059,True,525
317,318,8.73740053050398,-0.0240384615384599,-0.0027512073876354323,8.737433597921322,13.26261054900028,True,549
318,319,9.73740053050398,-0.0240384615384599,-0.0024686683710313947,9.737430202013893,13.2626083902032,True,571
319,320,10.73740053050398,-0.0240384615384599,-0.002238756141178328,10.737427438641914,13.262606805970945,True,590
320,321,11.73740053050398,-0.0240384615384599,-0.002048019735470805,11.737425146134404,13.262605609125906,True,605
321,322,12.73740053050398,-0.0240384615384599,-0.0018872322450768923,12.737423213590581,13.262604682939378,True,617
322,323,-12.26259946949602,0.9759615384615401,-0.07942106008641904,12.301375804105827,13.271822743425975,True,7
323,324,-11.26259946949602,0.9759615384615401,-0.08643915847679405,11.304806399706642,13.273522663456061,True,20
324,325,-10.26259946949602,0.9759615384615401,-0.09481372357546915,10.30890143496659,13.275738394934042,True,37
325,326,-9.26259946949602,0.9759615384615401,-0.10497849070493115,9.313874052018535,13.278701077042895,True,57
326,327,-8.26259946949602,0.9759615384615401,-0.11757320893267652,8.320039117568628,13.282786832368103,True,79
327,328,-7.2625994694960205,0.9759615384615401,-0.13358159050667326,7.32788182075012,13.28864063154479,True,103
328,329,-6.2625994694960205,0.9759615384615401,-0.1545961821307201,6.3381900444754775,13.297442662698831,True,129
329,330,-5.2625994694960205,0.9759615384615401,-0.18336912978782968,5.352331650869181,13.311538148245736,True,156
330,331,-4.2625994694960205,0.9759615384615401,-0.22507969437851338,4.372900085973149,13.336118547202725,True,184
331,332,-3.2625994694960205,0.9759615384615401,-0.29066410972682405,3.4054450844070194,13.384483488381235,True,213
332,333,-2.2625994694960205,0.9759615384615401,-0.407232833449663,2.4641138942670424,13.498364820318512,True,242
333,334,-1.2625994694960205,0.9759615384615401,-0.6580455376737955,1.5958252864671147,13.84649475559721,True,271
334,335,-0.26259946949602053,0.9759615384615401,-1.307953894838661,1.0106727491803704,14.88241342194217,True,300
335,336,0.7374005305039795,0.9759615384615401,0.9237443275805383,1.2232172607283494,14.30574268158104,True,330
336,337,1.7374005305039795,0.9759615384615401,0.511809390314212,1.9927522495161625,13.628288425072322,True,360
337,338,2.7374005305039795,0.9759615384615401,0.3424790503544096,2.9061766272819147,13.430827423915819,True,389
338,339,3.7374005305039795,0.9759615384615401,0.25542975715520566,3.862727488442285,13.357042790305625,True,418
339,340,4.7374005305039795,0.9759615384615401,0.20316962569561497,4.836885848454107,13.322598923101372,True,447
340,341,5.7374005305039795,0.9759615384615401,0.16849237909855186,5.819816644189365,13.30395644187792,True,475
341,342,6.7374005305039795,0.9759615384615401,0.1438566411676638,6.807721118920157,13.29278625619196,True,501
342,343,7.7374005305039795,0.9759615384615401,0.12547295180427837,7.798709373607885,13.285583275685255,True,526
343,344,8.73740053050398,0.9759615384615401,0.11123820119486313,8.791738676451175,13.280674423468916,True,550
344,345,9.73740053050398,0.9759615384615401,0.09989452805011338,9.78618771616483,13.277181847531546,True,572
345,346,10.73740053050398,0.9759615384615401,0.0906445740112179,10.781663650709168,13.274609875645183,True,591
346,347,11.73740053050398,0.9759615384615401,0.08295887961626087,11.777906101596807,13.272661774605067,True,606
347,348,12.73740053050398,0.9759615384615401,0.07647230025532455,12.774735738912147,13.271151232800404,True,618
348,349,-12.26259946949602,1.97596153846154,-0.15976392671606762,12.420779756149104,13.299800739691403,True,8
349,350,-11.26259946949602,1.97596153846154,-0.1736769605257123,11.43462158585807,13.306527438950132,True,21
